imo,ofac,uk,eu
9076478,True,False,False
9078191,True,False,False
9079066,True,False,False
9079078,True,False,False
9079107,True,False,False
9079169,True,False,True
9080493,True,False,False
9081291,True,False,False
9081332,True,False,False
9081368,True,False,False
9081370,True,False,False
9082142,True,False,False
9083184,False,False,True
9083196,True,False,False
9083330,True,False,False
9085730,True,False,False
9086253,True,False,False
9087714,False,True,True
9088524,True,False,False
9088536,True,False,False
9096507,True,False,False
9096791,True,False,False
9102198,True,False,False
9102239,True,False,False
9102241,True,False,False
9102277,True,False,False
9103099,True,False,False
9103817,True,False,False
9105140,False,True,True
9108099,True,False,False
9109081,True,False,False
9109550,True,False,False
9110236,True,False,False
9113020,True,False,False
9113094,True,False,False
9113276,False,True,True
9113379,True,False,False
9114555,True,True,True
9114581,True,False,False
9114608,True,False,False
9115028,True,False,False
9115303,True,False,False
9116412,True,False,False
9116632,True,False,False
9117478,True,False,False
9117492,True,False,False
9117818,True,False,False
9118355,True,False,False
9118551,True,False,False
9118745,True,False,False
9120994,True,False,False
9122473,True,False,False
9125126,True,False,False
9125138,True,False,False
9125712,True,False,False
9125724,True,False,False
9126015,True,False,False
9127667,True,False,False
9131096,True,False,False
9131101,True,False,False
9131357,False,True,False
9131539,True,False,False
9133070,True,False,False
9133082,True,False,False
9133109,True,False,False
9134165,True,False,False
9136113,True,False,False
9136644,True,False,False
9137210,True,False,False
9137246,True,False,False
9137258,True,False,False
9137648,False,True,True
9138044,True,False,False
9138056,True,False,False
9138680,True,False,False
9139945,True,False,False
9140451,True,False,False
9141259,True,False,False
9142150,True,False,False
9142588,True,False,False
9142916,False,True,True
9143506,True,False,False
9144782,True,True,True
9147394,True,False,False
9147447,True,False,False
9150365,True,False,False
9150377,True,False,False
9151890,False,True,True
9153525,True,False,False
9154000,True,False,False
9155341,True,False,False
9155626,True,False,False
9157478,True,False,False
9157820,True,False,False
9158161,True,False,False
9158240,True,False,False
9159787,True,False,False
9159921,True,False,False
9160475,True,False,False
9160994,True,False,False
9161003,True,True,True
9162928,True,False,False
9163154,True,False,False
9163166,True,False,False
9163269,True,False,False
9163764,False,True,True
9164500,True,False,False
9164512,False,True,True
9164718,False,False,True
9165786,True,False,False
9165798,True,False,False
9165803,True,False,False
9165815,True,False,False
9165827,True,False,False
9165839,True,False,False
9166314,False,True,True
9166675,True,False,False
9167148,True,False,False
9167162,True,False,False
9167253,True,False,False
9167265,True,False,False
9167277,True,False,False
9167289,True,False,False
9167291,True,False,False
9167409,True,False,False
9167930,True,True,True
9168946,True,True,True
9169421,True,False,False
9171175,False,True,True
9171357,True,False,False
9171448,True,False,False
9171450,True,False,False
9171462,True,False,False
9171498,True,False,False
9171503,True,False,False
9171620,True,False,False
9171876,True,False,False
9172038,True,False,False
9172040,True,False,False
9172052,True,False,False
9172636,True,False,False
9173745,True,False,False
9174220,True,False,False
9174397,True,False,False
9174660,True,False,False
9175078,False,True,True
9176656,True,False,False
9176773,True,False,False
9176929,True,False,False
9177155,True,False,False
9177583,True,False,False
9177806,True,False,False
9178044,True,False,False
9178068,True,False,False
9179347,True,False,False
9179385,True,False,False
9179842,True,True,True
9179854,True,False,False
9179921,True,False,False
9180152,True,False,False
9180164,True,False,False
9180281,True,False,False
9181194,True,False,False
9181649,True,False,False
9182291,True,False,False
9183295,False,True,True
9183362,True,False,False
9183831,True,True,True
9183934,True,False,False
9184691,True,False,False
9185528,False,True,False
9185530,True,False,False
9186625,True,False,True
9187227,True,True,True
9187368,True,False,False
9187514,True,False,False
9187629,True,False,False
9187631,True,False,False
9187643,True,False,False
9187655,True,False,False
9187667,True,False,False
9188752,True,False,False
9189146,True,True,True
9190078,True,False,False
9190107,True,False,False
9190274,True,False,False
9190286,True,False,False
9191553,True,False,False
9191711,True,False,False
9191773,False,True,True
9192258,True,False,False
9193185,True,False,False
9193197,True,False,False
9193202,True,False,False
9193214,True,False,False
9193721,True,False,False
9194012,False,False,True
9194127,True,False,False
9194139,True,False,False
9194969,True,False,False
9194983,False,True,True
9196448,True,False,False
9196620,True,False,False
9196632,True,False,False
9196644,True,False,False
9197727,True,False,False
9197832,True,False,False
9197844,True,False,False
9197909,True,False,False
9198082,True,True,True
9198094,True,False,False
9198226,True,False,False
9198290,False,True,True
